Summary of the training: 
(' ave_R ', 381.84, ' std_R ', 369.28, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 15307647, ' epi', 11600, ' clock ', 30.9, ' min')
(' ave_R ', 388.18, ' std_R ', 385.81, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 15535591, ' epi', 11700, ' clock ', 31.32, ' min')
(' ave_R ', 366.63, ' std_R ', 365.98, ' min_R ', 0.0, ' max_R ', 1670.09, ' times ', 15769584, ' epi', 11800, ' clock ', 31.74, ' min')
(' ave_R ', 365.48, ' std_R ', 344.97, ' min_R ', 0.0, ' max_R ', 1617.07, ' times ', 16016031, ' epi', 11900, ' clock ', 32.17, ' min')
(' ave_R ', 391.13, ' std_R ', 357.18, ' min_R ', 0.0, ' max_R ', 1617.07, ' times ', 16264175, ' epi', 12000, ' clock ', 32.6, ' min')
(' ave_R ', 378.72, ' std_R ', 348.15, ' min_R ', 0.0, ' max_R ', 1617.07, ' times ', 16486552, ' epi', 12100, ' clock ', 33.0, ' min')
(' ave_R ', 371.12, ' std_R ', 321.09, ' min_R ', 0.0, ' max_R ', 1525.87, ' times ', 16757642, ' epi', 12200, ' clock ', 33.49, ' min')
(' ave_R ', 376.32, ' std_R ', 310.71, ' min_R ', 0.0, ' max_R ', 1525.87, ' times ', 17015075, ' epi', 12300, ' clock ', 33.95, ' min')
(' ave_R ', 373.93, ' std_R ', 321.13, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 17242713, ' epi', 12400, ' clock ', 34.36, ' min')
(' ave_R ', 380.34, ' std_R ', 317.11, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 17488880, ' epi', 12500, ' clock ', 34.81, ' min')
(' ave_R ', 362.94, ' std_R ', 318.63, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 17669202, ' epi', 12600, ' clock ', 35.13, ' min')
(' ave_R ', 375.19, ' std_R ', 305.99, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 17939152, ' epi', 12700, ' clock ', 35.62, ' min')
(' ave_R ', 377.42, ' std_R ', 308.74, ' min_R ', 0.0, ' max_R ', 1601.09, ' times ', 18183489, ' epi', 12800, ' clock ', 36.08, ' min')
